features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'month', 'year', 'quarter')",7,0.4202878967130002,0.4188008490595901,1.1223141592168568,1.1181607596024095
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'day', 'year', 'quarter')",7,0.4202875430135779,0.41880195649602503,1.1223170932461772,1.1181620734342086
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'year', 'quarter')",6,0.4202880518315358,0.4188024426949181,1.1223173200760894,1.1181607316474893
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month')",6,0.4202606022394338,0.41880533823285476,1.1221066105494915,1.1179322238195692
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day')",7,0.42026070643112234,0.41880593523070986,1.1221063355634853,1.1179337166992964
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'quarter')",6,0.4202672071652416,0.41881385848057795,1.1221053824125395,1.117930016535541
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'quarter')",7,0.4202673552182521,0.4188145035115141,1.1221050969944442,1.1179315373187724
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'quarter')",7,0.42027912863877664,0.4188221887253518,1.122100731827913,1.1179294350611
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'quarter')",8,0.42027941310041145,0.4188229016569246,1.1221004558694194,1.117930935081522
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'year')",7,0.4203236103607378,0.4188444510207187,1.1222936430254205,1.1181407069016838
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'year')",6,0.42032399639237467,0.41884470001851193,1.122293824951633,1.1181394822298114
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'year')",7,0.4203057710927003,0.41885053720007975,1.1221102046081644,1.1179572975815606
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'year')",6,0.42030631291327364,0.4188507376550331,1.1221104084875932,1.1179559642449624
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'year')",8,0.4203331129780787,0.4188555510986879,1.1222928539150308,1.118137659896226
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'year')",7,0.4203335541822721,0.4188559108087524,1.1222930481375846,1.1181364187423142
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day', 'year', 'quarter')",9,0.4203389644284701,0.4188617376773179,1.1222884343624635,1.1181357547183244
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'month', 'year', 'quarter')",8,0.420339112432838,0.4188617831692526,1.1222886322365615,1.118134499477787
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'day', 'year', 'quarter')",8,0.4203389024039174,0.41886222088330344,1.1222917775134424,1.1181358611820391
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'dayofweek', 'year', 'quarter')",7,0.4203393388789055,0.4188625994117981,1.12229197854296,1.1181345987291715
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'year')",7,0.42031672471535636,0.41886463580633715,1.1221092619004414,1.1179520582829416
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'year')",8,0.42031628216446737,0.4188647622509345,1.1221090421695068,1.1179534154847859
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'year', 'quarter')",7,0.4203238128357194,0.4188728976076905,1.1221079589914693,1.1179500628933385
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'day', 'year', 'quarter')",8,0.4203233564156956,0.41887306994708196,1.1221077317416028,1.1179514428954962
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek')",6,0.4203269967392994,0.41887415110464443,1.1220885386555552,1.117930372323036
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day')",7,0.4203270586299306,0.41887446808233236,1.1220882822360339,1.117931837213949
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'year', 'quarter')",8,0.42033051827166673,0.41887750376093646,1.1221044459326626,1.1179499645212556
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'month', 'day', 'year', 'quarter')",9,0.4203300583805015,0.41887778069491893,1.1221042220200192,1.1179513373989787
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'year')",7,0.4203380677760866,0.41887858904265607,1.1220994952973131,1.1179321858747375
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'year')",6,0.42033848917604577,0.41887866327708995,1.1220996738299536,1.1179309297647326
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month')",7,0.42033300903555804,0.41888354589356075,1.1220878673360422,1.1179274935709398
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day')",8,0.4203331127309723,0.4188838877397275,1.1220875949142435,1.117928969185117
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'quarter')",7,0.4203396803399317,0.4188919347669574,1.1220866628351043,1.1179253280144805
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'quarter')",8,0.4203398588792877,0.4188923294018887,1.122086380127202,1.1179268311019406
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'year')",7,0.4203482199951005,0.41889259285165803,1.1220984818838682,1.1179268908699387
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'year')",8,0.4203478740083718,0.4188927569174714,1.1220982882168409,1.117928173446019
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'quarter')",8,0.420351711029369,0.4189007404699491,1.1220820998340306,1.1179247733102775
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'year', 'quarter')",7,0.4203549803936044,0.4189009744769094,1.1220970976057398,1.1179247591404706
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'day', 'year', 'quarter')",8,0.42035462011440616,0.4189011299513479,1.122096896628993,1.1179260653568892
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'quarter')",9,0.42035206995578034,0.4189012111673439,1.122081826445901,1.1179262560079304
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'year', 'quarter')",8,0.4203615299114587,0.41890497932700554,1.1220932992986619,1.1179244937476767
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'hour', 'dayofweek', 'month', 'day', 'year', 'quarter')",9,0.42036122495769923,0.41890506340862804,1.1220931016867388,1.1179257919761858
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'year')",8,0.4204080688313655,0.4189541101552523,1.1220808928110968,1.1179274735683125
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'year')",7,0.42040843034871994,0.41895419466849404,1.1220810701484003,1.1179262304187347
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'year')",8,0.4204184861658083,0.4189676061520469,1.1220799018209464,1.117922264924334
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'month', 'day', 'year')",9,0.42041828231538986,0.41896775239457446,1.1220797095510562,1.117923533972117
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'year', 'quarter')",8,0.4204254033715251,0.4189758684624876,1.1220785440612284,1.1179201737589355
"('rolling_24_std', 'rolling_24_mean', 'lag_1', 'lag_24', 'hour', 'dayofweek', 'day', 'year', 'quarter')",9,0.4204251953249038,0.4189759160548388,1.1220783445758713,1.1179214660810064
