features,n_features,train_mae,test_mae,train_rmse,test_rmse
"('rolling_24_std', 'lag_1', 'month', 'day', 'year')",5,0.0963621346030837,0.09609174429172292,0.26520648101168287,0.2643886091360532
"('rolling_24_std', 'lag_1', 'dayofweek', 'month')",4,0.09635981150024284,0.0960921413629972,0.2652001127105266,0.26438135390318074
"('rolling_24_std', 'lag_1', 'dayofweek', 'quarter')",4,0.09635986826269018,0.09609251590766654,0.26519915564928875,0.2643801152971092
"('rolling_24_std', 'lag_1', 'dayofweek', 'month', 'day')",5,0.09636009625553019,0.09609261760910011,0.2652000293546835,0.26438174031314926
"('rolling_24_std', 'lag_1', 'dayofweek', 'day', 'quarter')",5,0.096360174331082,0.09609302089659096,0.26519906922271747,0.2643805081630464
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'day')",5,0.09633872386887071,0.09611107498162352,0.2642871769389939,0.26355498762033247
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek')",4,0.09633854980977717,0.0961110849626939,0.2642872377535294,0.2635546684410042
"('rolling_24_std', 'lag_1', 'lag_24', 'day', 'year')",5,0.09634032640136128,0.09611242826168903,0.2642916217200043,0.26356034844958504
"('rolling_24_std', 'lag_1', 'lag_24', 'year')",4,0.09634044918628266,0.0961127306786498,0.2642916708141072,0.263560055881161
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month')",5,0.09634132623566365,0.09611400575699067,0.26428672155023636,0.2635532880818638
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month', 'day')",6,0.09634153437222283,0.09611401067597498,0.26428665381513733,0.2635536155439914
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'day', 'quarter')",6,0.096342896151766,0.09611559173942275,0.26428621745626457,0.2635529833829887
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'quarter')",5,0.09634266005567962,0.09611559487823061,0.2642862875070289,0.2635526506349458
"('rolling_24_std', 'lag_1', 'lag_24', 'dayofweek', 'month', 'quarter')",6,0.09634321293652888,0.09611703436785539,0.2642853765415357,0.2635522976869016
